,file_name,speaker,label
0,8_lucas_9.wav,lucas,8
1,0_theo_17.wav,theo,0
2,1_theo_13.wav,theo,1
3,1_george_12.wav,george,1
4,5_jackson_14.wav,jackson,5
5,5_jackson_36.wav,jackson,5
6,6_george_8.wav,george,6
7,7_jackson_36.wav,jackson,7
8,6_theo_5.wav,theo,6
9,0_yweweler_37.wav,yweweler,0
10,4_nicolas_47.wav,nicolas,4
11,7_yweweler_20.wav,yweweler,7
12,8_jackson_38.wav,jackson,8
13,6_yweweler_21.wav,yweweler,6
14,4_jackson_27.wav,jackson,4
15,0_nicolas_19.wav,nicolas,0
16,7_jackson_28.wav,jackson,7
17,3_theo_2.wav,theo,3
18,0_george_21.wav,george,0
19,9_jackson_36.wav,jackson,9
20,2_yweweler_16.wav,yweweler,2
21,0_yweweler_15.wav,yweweler,0
22,7_lucas_28.wav,lucas,7
23,8_theo_34.wav,theo,8
24,8_yweweler_23.wav,yweweler,8
25,1_yweweler_14.wav,yweweler,1
26,4_lucas_11.wav,lucas,4
27,3_jackson_42.wav,jackson,3
28,4_george_2.wav,george,4
29,8_lucas_29.wav,lucas,8
30,9_nicolas_21.wav,nicolas,9
31,9_theo_9.wav,theo,9
32,4_theo_47.wav,theo,4
33,9_george_31.wav,george,9
34,1_george_17.wav,george,1
35,5_lucas_46.wav,lucas,5
36,1_george_20.wav,george,1
37,6_yweweler_23.wav,yweweler,6
38,1_theo_36.wav,theo,1
39,5_jackson_29.wav,jackson,5
40,3_jackson_30.wav,jackson,3
41,7_theo_21.wav,theo,7
42,2_nicolas_13.wav,nicolas,2
43,2_lucas_26.wav,lucas,2
44,0_yweweler_19.wav,yweweler,0
45,4_george_38.wav,george,4
46,5_jackson_46.wav,jackson,5
47,7_george_14.wav,george,7
48,8_nicolas_33.wav,nicolas,8
49,5_nicolas_21.wav,nicolas,5
50,6_george_17.wav,george,6
51,9_yweweler_2.wav,yweweler,9
52,6_george_18.wav,george,6
53,5_lucas_15.wav,lucas,5
54,7_nicolas_43.wav,nicolas,7
55,8_nicolas_30.wav,nicolas,8
56,5_george_40.wav,george,5
57,2_yweweler_15.wav,yweweler,2
58,9_lucas_34.wav,lucas,9
59,3_jackson_8.wav,jackson,3
60,4_yweweler_2.wav,yweweler,4
61,8_theo_20.wav,theo,8
